Name,Class,Length_m,Weight_tonnes,Era
Barosaurus lentus,Sauropodomorpha,36.5,41,Jurassic
Maraapunisaurus fragilimus,Sauropodomorpha,35.1,99.5,Jurassic
Argentinosaurus huinculensis,Sauropodomorpha,32.5,82.5,Cretaceous
Brachiosaurus altithorax,Sauropodomorpha,20,43.15,Jurassic
Patagotitan mayorum,Sauropodomorpha,34,64.5,Cretaceous
Diplodocus hallorum,Sauropodomorpha,31,12.9,Jurassic
Supersaurus vivianae,Sauropodomorpha,33.5,34.05,Jurassic
Spinosaurus aegyptiacus,Theropoda,15.3,8.85,Cretaceous
Giganotosaurus carolinii,Theropoda,13.4,7.1,Cretaceous
Mapusaurus roseae,Theropoda,12.55,6.35,Cretaceous
Carcharodontosaurus saharicus,Theropoda,12.75,7.1,Cretaceous
Saurophaganax maximus,Theropoda,11.75,3.75,Jurassic
Tyrannosaurus rex,Theropoda,11.6,6.65,Cretaceous
Deinocheirus mirificus,Theropoda,11,5.7,Cretaceous
Utahraptor ostrommaysi,Theropoda,7,0.5,Cretaceous
Allosaurus fragilis,Theropoda,10,2.3,Jurassic
Shantungosaurus giganteus,Ornithopoda,16.7,16.25,Cretaceous
Edmontosaurus annectens,Ornithopoda,13.6,9.9,Cretaceous
Iguanodon bernissartensis,Ornithopoda,11.5,5.69,Cretaceous
Parasaurolophus walkeri,Ornithopoda,9.5,3.8,Cretaceous
Brachylophosaurus canadensis,Ornithopoda,11,5.75,Cretaceous
Eotriceratops xerinsularis,Ceratopsia,10.25,10,Cretaceous
Triceratops horridus,Ceratopsia,8.5,11.3,Cretaceous
Torosaurus latus,Ceratopsia,8,7,Cretaceous
Ojoceratops fowleri,Ceratopsia,8,7.65,Cretaceous
Titanoceratops ouranos,Ceratopsia,6.65,5.775,Cretaceous
Stegosaurus ungulatus,Thyreophora,8,5.4,Jurassic
Stegosaurus stenops,Thyreophora,7.75,3.95,Jurassic
Cedarpelta bilbeyhallorum,Thyreophora,7,5,Cretaceous
Dacentrurus armatus,Thyreophora,7.5,6.2,Jurassic
Ankylosaurus magniventris,Thyreophora,7.125,6.4,Cretaceous